"","Well","Sample","Species","Task","Reporter","Quencher","Ct","Cт.Mean","Cт.SD","Quantity","Quantity.Mean","Quantity.SD","Automatic.Ct.Threshold","Ct.Threshold","Automatic.Baseline","Baseline.Start","Baseline.End","Comments","HIGHSD","EXPFAIL","SuperMix"
"108","F6","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",33.80471039,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,33,NA,"Y","N","SM6"
"109","D7","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.72160339,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,14,NA,"Y","N","SM7"
"110","D7","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.14515877,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,19,NA,"Y","N","SM7"
"111","D8","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",17.94835472,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,13,NA,"Y","N","SM7"
"112","D8","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",20.67423248,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,20,NA,"Y","N","SM7"
"113","D9","ST1","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM7"
"114","D9","ST1","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM7"
"115","E7","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.55620384,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,20,NA,"Y","N","SM7"
"116","E7","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.01117325,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM7"
"117","E8","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",24.84171677,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,22,NA,"Y","N","SM7"
"118","E8","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",27.07901573,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,26,NA,"Y","N","SM7"
"119","E9","ST3","Cod","UNKNOWN","FAM","NFQ-MGB",NA,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,41,NA,"N","Y","SM7"
"120","E9","ST3","Herring","UNKNOWN","CY3","NFQ-MGB",NA,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,41,NA,"N","Y","SM7"
"121","F7","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.68794632,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,28,NA,"Y","N","SM7"
"122","F7","ST5","Herring","UNKNOWN","CY3","NFQ-MGB",34.23016739,27.32662201,5.696009636,NA,NA,NA,TRUE,0.01091607,TRUE,3,34,NA,"Y","N","SM7"
"123","F8","ST5","Cod","UNKNOWN","FAM","NFQ-MGB",31.50330544,25.23806,6.060730457,NA,NA,NA,TRUE,0.100954591,TRUE,3,26,NA,"Y","N","SM7"
